time,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,label
YAL001C,-0.07,-0.23,-0.1,0.03,-0.04,-0.12,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0.0,0.01,0
YAL014C,0.215,0.09,0.025000002,-0.04,-0.04,-0.02,-0.51,-0.08,0.0,0.46,-0.19,0.04,0.18,-0.3,-0.38,0.07,-0.04,0.13,-0.06,-0.26,-0.1,0.27,0.23500001,0
YAL016W,0.15,0.15,0.22,0.29,-0.1,0.15,-0.73,0.19,-0.15,0.29,-0.08,0.16,-0.05,0.12,-0.17,0.11,-0.15,0.03,-0.26,-0.34,-0.34,0.25,0.19,0
YAL020C,-0.35,-0.28,-0.215,-0.15,0.16,-0.12,0.26,0.0,0.13,-0.2,-0.07,-0.05,0.43,0.07,0.61,-0.2,0.49,-0.43,0.8,-0.47,1.01,-0.36,-0.405,0
YAL022C,-0.415,-0.59,-0.58,-0.57,-0.09,-0.34,0.49,0.32,1.15,0.2,0.31,-0.28,-0.01,-0.48,-0.4,-0.59,0.54,-0.09,1.03,0.08,0.57,-0.26,-0.31,1
YAL036C,0.54,0.33,0.215,0.1,-0.27,0.45,0.62,0.32,-0.6,0.27,-0.27,0.21,-0.4,-0.11,-0.55,0.24,-0.19,0.27,-0.5,-0.47,-0.83,0.05,-0.07,0
YAL038W,-0.625,-0.6,-0.4,-0.2,-0.13,0.33,-0.53,0.26,-0.18,0.35,0.18,0.34,0.28,0.16,0.15,0.11,0.57,0.32,0.23,0.19,-0.29,-0.02,-0.045,0
YAL039C,0.050000004,-0.24,-0.19,-0.14,-1.22,-0.16,-0.21,0.2,-0.47,0.35,0.11,0.52,-0.48,-0.13,-0.26,-0.03,-0.2,0.11,-0.05,0.34,-0.41,0.52,0.40499997,0
YAL040C,0.335,0.05,-0.04,-0.13,0.02,0.04,-0.14,0.24,0.91,0.42,0.58,-0.2,0.03,-0.38,-0.31,-0.56,0.17,-0.3,0.36,-0.26,0.11,-0.5,-0.58000004,1
YAL044C,-0.43,-0.46,-0.39,-0.32,-0.66,0.03,-0.79,0.1,-0.89,0.05,-0.97,0.17,-0.31,0.18,-0.14,0.46,0.4,0.87,-0.24,0.22,-0.44,0.84,0.77,0
YAL046C,0.135,0.23,0.125,0.02,0.09,0.16,-0.16,-0.02,-0.17,0.1,-0.14,-0.09,0.02,-0.27,0.16,-0.25,0.19,0.08,-0.11,-0.19,-0.36,-0.02,-0.04,0
YAL048C,0.005,0.02,-0.049999997,-0.12,0.1,0.1,0.11,0.01,-0.01,-0.39,-0.49,1.92,0.02,-0.13,-0.05,-0.35,-0.01,-0.25,0.53,0.05,0.31,-0.25,-0.26999998,0
YAL049C,-0.19999999,-0.32,-0.32,-0.32,-0.33,-0.26,0.09,-0.23,0.37,0.04,0.18,0.82,-0.07,0.25,0.08,-0.18,-0.42,-0.08,0.02,0.06,-0.15,0.17,0.155,0
YAL051W,0.155,0.2,0.22999999,0.26,-0.04,0.34,-0.31,-0.27,-0.29,0.27,-0.35,0.3,-1.19,0.19,-0.44,0.11,0.14,0.17,0.27,0.32,0.06,0.2,0.14,0
YAL056W,-0.135,-0.25,-0.205,-0.16,0.09,0.06,0.26,0.14,0.21,-0.19,-0.11,-0.23,-0.5,-0.19,0.25,-0.29,0.29,-0.45,0.53,0.38,0.66,0.06,0.004999999,0
YAL063C,0.42000002,0.43,0.325,0.22,0.03,0.2,-0.38,0.21,-0.34,0.06,0.11,-0.64,0.04,0.0,0.0,-0.04,0.28,-0.08,-0.1,-0.34,-0.24,-0.13,-0.13,0
YAL064W-B,0.099999994,0.07,-0.11,-0.29,0.56,-0.4,0.24,0.05,0.29,-0.07,0.33,0.98,0.28,-0.15,-0.06,-0.56,-0.01,-0.37,-0.03,-0.75,0.42,-0.13,-0.23,0
YAL065C,-0.07,-0.12,0.075,0.27,0.22,0.15,0.19,0.18,0.13,0.19,-0.04,-0.04,0.06,-0.12,-0.02,-0.45,0.04,-0.08,0.22,-0.13,0.24,-0.18,-0.115,0
YAR007C,1.26,1.53,0.71,-0.11,-0.59,-1.21,-1.43,-1.37,-1.16,0.72,0.94,1.15,0.85,0.99,0.15,-0.43,-0.66,-0.85,-1.06,-0.34,-0.09,0.79,0.69500005,1
YAR009C,0.235,0.42,0.32,0.22,0.13,0.18,0.08,0.17,-0.05,0.05,-0.19,-0.3,-0.39,-0.07,-0.24,0.01,0.17,-0.32,0.25,0.59,-0.04,-0.23,-0.15,0
YAR020C,0.23500001,0.11,-0.055,-0.22,0.19,-0.42,0.73,-0.82,0.32,-0.42,0.46,-0.77,0.34,0.24,0.52,-0.02,0.35,-0.24,0.74,-0.08,0.6,-1.54,-0.85499996,0
YAR035W,-0.055000003,-0.15,-0.120000005,-0.09,0.29,-0.13,0.18,-0.12,0.38,0.0,-0.49,0.26,0.33,-0.06,0.2,-0.3,0.19,-0.47,0.54,-0.23,0.64,-0.25,-0.225,0
YAR043C,0.2,0.04,0.155,0.27,0.19,0.18,-0.33,0.46,0.02,0.25,-0.17,-0.33,-0.17,-0.38,-0.47,0.15,-0.14,-0.17,-0.35,0.21,-0.19,0.31,0.095,0
YAR052C,0.25,0.32,-0.02000001,-0.36,0.45,-0.09,0.24,0.0,0.31,-0.02,0.28,-0.1,0.28,-0.27,0.14,-0.18,0.36,-0.81,0.31,-0.34,0.3,-0.41,-0.43,0
YAR060C,0.55,0.63,-0.099999994,-0.83,0.44,-0.48,0.57,-0.4,0.42,-0.22,0.46,-0.38,0.45,-0.42,0.14,-0.65,0.06,-0.92,0.38,0.47,0.25,-0.13,0.005000003,0
YAR070C,0.0,0.0,-0.15,-0.3,0.11,-1.4,0.69,0.03,0.3,-0.58,0.32,-0.88,0.56,0.42,0.17,-0.1,0.18,0.34,0.87,-0.36,0.76,-0.68,-0.245,0
YAR075W,0.26,0.21,0.155,0.1,0.47,-0.21,0.41,0.12,0.21,-0.46,-0.08,0.12,0.19,-0.37,0.09,-0.33,0.22,-0.1,0.75,-0.23,0.35,-0.76,-0.505,0
YBL003C,0.215,1.26,1.375,1.49,1.03,0.13,-0.64,-1.33,-1.91,-1.12,-0.31,1.11,1.24,1.79,1.33,0.85,0.3,0.06,-0.44,-1.15,-0.83,-0.81,-0.5,1
YBL005W,0.14999999,-0.02,0.205,0.43,0.06,0.36,0.31,0.35,-0.32,0.47,-0.16,0.2,-0.44,0.39,-0.4,0.13,-1.64,-0.1,-0.47,0.03,0.21,0.0,0.065,0
